instrument,exchange,tm,value,type,timeinterval
BTCUSD_PERP,binance,2022/2/17 22:12,8150007,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:11,8151726,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:11,74423.703,,minutes
BTCUSDT,binance,2022/2/17 22:10,74413.671,,minutes
BTCUSD_PERP,binance,2022/2/17 22:10,8150449,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:09,74414.365,,minutes
BTCUSD_PERP,binance,2022/2/17 22:09,8154051,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:08,74454.798,,minutes
BTCUSD_PERP,binance,2022/2/17 22:08,8154115,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:07,8154642,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:07,74439.022,,minutes
BTCUSDT,binance,2022/2/17 22:06,74452.244,,minutes
BTCUSD_PERP,binance,2022/2/17 22:06,8158147,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:05,8157660,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:05,74540.503,,minutes
BTCUSDT,binance,2022/2/17 22:04,74566.681,,minutes
BTCUSD_PERP,binance,2022/2/17 22:04,8155190,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:03,8152977,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:03,74544.194,,minutes
BTCUSDT,binance,2022/2/17 22:02,74656.365,,minutes
BTCUSD_PERP,binance,2022/2/17 22:02,8151088,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 22:01,8147297,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 22:01,74694.888,,minutes
BTCUSDT,binance,2022/2/17 22:00,74701.648,,minutes
BTCUSD_PERP,binance,2022/2/17 22:00,8151666,PERPETUAL,minutes
BTCUSD_PERP,binance,2022/2/17 21:59,8153534,PERPETUAL,minutes
BTCUSDT,binance,2022/2/17 21:59,74675.014,,minutes
BTCUSDT,binance,2022/2/17 21:58,74668.254,,minutes
BTCUSD_PERP,binance,2022/2/17 21:58,8156314,PERPETUAL,minutes
